Date,Player,Team,AgainstTeam
26-Oct-19,Adam Lowry,WPG,CGY
2-Oct-19,Milan Lucic,CGY,CBJ
9-Oct-19,Nick Foligno,CBJ,COL
18-Oct-19,Garnet Hathaway,WSH,ANA
23-Oct-19,Robert Bortuzzo,STL,NSH
23-Oct-19,Alexander Kerfoot,TOR,COL
25-Oct-19,Erik Cernak,TBL,BUF
15-Dec-19,Joel Farabee,PHI,WPG
31-Dec-19,Kurtis MacDermid,LAK,PHI
1-Jan-20,Corey Perry,DAL,NSH
11-Jan-20,Zack Kassian,EDM,CGY
8-Feb-20,Jeremy Lauzon,BOS,ARI
13-Feb-20,Zack Kassian,EDM,TBL
14-Feb-20,Evander Kane,SJS,WPG
11-Mar-20,Brendan Lemieux,NYR,COL
1-Aug-20,Drake Caggiula,CHI,OTT
19-Aug-20,Matt Niskanen,PHI,MTL
4-Sep-20,Ryan Reaves,VGS,VAN
9-Sep-20,Alex Killorn,TBL,NYI
22-Sep-17,Tom Wilson,WSH,STL
23-Sep-17,Andrew Desjardins,NYR,NJD
1-Oct-17,Tom Wilson,WSH,STL
19-Oct-17,Erik Gudbranson,VAN,BOS
16-Nov-17,Radko Gudas,PHI,WPG
18-Nov-17,Austin Watson,NSH,COL
25-Nov-17,Gabriel Landeskog,COL,CGY
29-Nov-17,Cedric Paquette,TBL,BOS
4-Dec-17,Brenden Dillon,SJS,WSH
16-Dec-17,Erik Johnson,COL,TBL
23-Dec-17,Zac Rinaldo,ARI,COL
27-Dec-17,Fredrik Claesson,OTT,BOS
2-Jan-18,Patrick Maroon,EDM,LAK
13-Jan-18,Andrew Cogliano,ANA,LAK
23-Jan-18,Brad Marchand,BOS,NJD
3-Feb-18,Filip Forsberg,NSH,NYR
6-Feb-18,Alex Burrows,OTT,NJD
10-Feb-18,Dustin Brown,LAK,TBL
17-Feb-18,Miles Wood,NJD,TBL
6-Mar-18,David Backes,BOS,DET
11-Apr-18,Drew Doughty,LAK,VGS
12-Apr-18,Nazem Kadri,TOR,BOS
17-Apr-18,Josh Morrissey,WIN,MIN
18-Apr-18,Ryan Hartman,NSH,COL
26-Apr-18,Evander Kane,SJS,VGS
1-May-18,Tom Wilson,WSH,PIT
19-Sep-18,MAX DOMI,MTL,FLA
25-Sep-18,ROBERT BORTUZZO,STL,WSH
30-Sep-18,TOM WILSON,WSH,STL
13-Oct-18,MIKE MATHESON,FLA,VAN
23-Oct-18,MARK BOROWIECKI,OTT,BOS
29-Oct-18,MARK BOROWIECKI,OTT,VGS
2-Nov-18,BRENDAN LEMIEUX,WPG,FLA
15-Nov-18,JOSH ARCHIBALD,ARI,NSH
2-Dec-18,TYLER BERTUZZI,DET,COL
6-Dec-18,MARK GIORDANO,CAL,MIN
8-Dec-18,ZACH HYMAN,TOR,BOS
18-Dec-18,JUJHAR KHAIRA,EDM,STL
22-Dec-18,Erik Karlsson,SJS,LAK
27-Dec-18,David Backes,BOS,NJD
15-Jan-19,Paul Byron,MTL,FLA
17-Jan-19,Ryan Johansen,NSH,WPG
11-Feb-19,Evgeni Malkin,PIT,PHI
19-Feb-19,Radko Gudas,PHI,TBL
21-Feb-19,Connor McDavid,EDM,NYI
1-Mar-19,Kurtis Gabriel,NJD,PHI
1-Mar-19,Adam Lowry,WIN,NSH
9-Mar-19,Jakub Voracek,PHI,NYI
9-Mar-19,Jack Eichel,BUF,COL
20-Mar-19,Jean-Gabriel Pageau,OTT,VAN
21-Mar-19,Yanni Gourde,TBL,CAR
12-Apr-19,Nikita Kucherov,TBL,CBJ
13-Apr-19,Nazem Kadri,TOR,BOS
14-Apr-19,Joe Thornton,SJS,VGS
6-May-19,Charlie McAvoy,BOS,CBJ
29-May-19,Oskar Sundqvist,STL,BOS
6-Jun-19,Ivan Barbashev,STL,BOS
